command,type,verification_status,source
:DIAGNOSTIC,action,extracted,"AREG_UserManual_en_08.pdf#page=373, AREG_UserManual_en_08.pdf#page=375, AREG_UserManual_en_08.pdf#page=547, AREG_UserManual_en_08.pdf#page=575"
:DIAGNOSTIC:INFO:OTIME?,query,extracted,"AREG_UserManual_en_08.pdf#page=373, AREG_UserManual_en_08.pdf#page=374, AREG_UserManual_en_08.pdf#page=547, AREG_UserManual_en_08.pdf#page=575"
:DIAGNOSTIC:INFO:POCOUNT?,query,extracted,"AREG_UserManual_en_08.pdf#page=373, AREG_UserManual_en_08.pdf#page=374, AREG_UserManual_en_08.pdf#page=547, AREG_UserManual_en_08.pdf#page=575"
:DIRECTION,action,extracted,"AREG_UserManual_en_08.pdf#page=250, AREG_UserManual_en_08.pdf#page=443, AREG_UserManual_en_08.pdf#page=579"
:DISPLAY,action,extracted,AREG_UserManual_en_08.pdf#page=387
:DISPLAY:ANNOTATION,action,extracted,"AREG_UserManual_en_08.pdf#page=384, AREG_UserManual_en_08.pdf#page=386, AREG_UserManual_en_08.pdf#page=575"
:DISPLAY:ANNOTATION:AMPLITUDE,action,extracted,"AREG_UserManual_en_08.pdf#page=270, AREG_UserManual_en_08.pdf#page=383, AREG_UserManual_en_08.pdf#page=385, AREG_UserManual_en_08.pdf#page=575"
:DISPLAY:ANNOTATION:FREQUENCY,action,extracted,"AREG_UserManual_en_08.pdf#page=270, AREG_UserManual_en_08.pdf#page=383, AREG_UserManual_en_08.pdf#page=385, AREG_UserManual_en_08.pdf#page=575"
:DISPLAY:BRIGHTNESS,action,extracted,"AREG_UserManual_en_08.pdf#page=246, AREG_UserManual_en_08.pdf#page=383, AREG_UserManual_en_08.pdf#page=384, AREG_UserManual_en_08.pdf#page=575"
:DISPLAY:BUTTON:BRIGHTNESS,action,extracted,"AREG_UserManual_en_08.pdf#page=246, AREG_UserManual_en_08.pdf#page=383, AREG_UserManual_en_08.pdf#page=385, AREG_UserManual_en_08.pdf#page=575"
:DISPLAY:DIALOG:CLOSE,action,extracted,"AREG_UserManual_en_08.pdf#page=384, AREG_UserManual_en_08.pdf#page=386, AREG_UserManual_en_08.pdf#page=387, AREG_UserManual_en_08.pdf#page=575"
:DISPLAY:DIALOG:CLOSE:ALL,action,extracted,"AREG_UserManual_en_08.pdf#page=384, AREG_UserManual_en_08.pdf#page=387, AREG_UserManual_en_08.pdf#page=575"
:DISPLAY:DIALOG:ID?,query,extracted,"AREG_UserManual_en_08.pdf#page=256, AREG_UserManual_en_08.pdf#page=384, AREG_UserManual_en_08.pdf#page=386, AREG_UserManual_en_08.pdf#page=575"
:DISPLAY:DIALOG:OPEN,action,extracted,"AREG_UserManual_en_08.pdf#page=256, AREG_UserManual_en_08.pdf#page=384, AREG_UserManual_en_08.pdf#page=386, AREG_UserManual_en_08.pdf#page=387, AREG_UserManual_en_08.pdf#page=575"
:DISPLAY:PERMANENT:PRIORITY,action,extracted,"AREG_UserManual_en_08.pdf#page=179, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=527, AREG_UserManual_en_08.pdf#page=576"
:DISPLAY:PERMANENT:STATE,action,extracted,"AREG_UserManual_en_08.pdf#page=179, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=528, AREG_UserManual_en_08.pdf#page=576"
:DISPLAY:PSAVE,action,extracted,"AREG_UserManual_en_08.pdf#page=246, AREG_UserManual_en_08.pdf#page=383, AREG_UserManual_en_08.pdf#page=384, AREG_UserManual_en_08.pdf#page=575"
:DISPLAY:PSAVE:HOLDOFF,action,extracted,"AREG_UserManual_en_08.pdf#page=246, AREG_UserManual_en_08.pdf#page=383, AREG_UserManual_en_08.pdf#page=384, AREG_UserManual_en_08.pdf#page=575"
:DISPLAY:UPDATE,action,extracted,"AREG_UserManual_en_08.pdf#page=247, AREG_UserManual_en_08.pdf#page=383, AREG_UserManual_en_08.pdf#page=385, AREG_UserManual_en_08.pdf#page=575"
:DISTANCE,action,extracted,"AREG_UserManual_en_08.pdf#page=157, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=500, AREG_UserManual_en_08.pdf#page=583"
:DNS,action,extracted,"AREG_UserManual_en_08.pdf#page=301, AREG_UserManual_en_08.pdf#page=409, AREG_UserManual_en_08.pdf#page=420, AREG_UserManual_en_08.pdf#page=577"
:DOMAIN,action,extracted,"AREG_UserManual_en_08.pdf#page=301, AREG_UserManual_en_08.pdf#page=409, AREG_UserManual_en_08.pdf#page=419, AREG_UserManual_en_08.pdf#page=577"
:DOPPLER,action,extracted,"AREG_UserManual_en_08.pdf#page=106, AREG_UserManual_en_08.pdf#page=447, AREG_UserManual_en_08.pdf#page=450, AREG_UserManual_en_08.pdf#page=451, AREG_UserManual_en_08.pdf#page=582"
:DOPPLER:FREQUENCY,action,extracted,"AREG_UserManual_en_08.pdf#page=106, AREG_UserManual_en_08.pdf#page=447, AREG_UserManual_en_08.pdf#page=451, AREG_UserManual_en_08.pdf#page=582"
:DYNAMIC:ID,action,extracted,"AREG_UserManual_en_08.pdf#page=157, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=501, AREG_UserManual_en_08.pdf#page=583"
:EIRP:PORT,action,extracted,"AREG_UserManual_en_08.pdf#page=132, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=493, AREG_UserManual_en_08.pdf#page=581"
:EIRP:SENSOR,action,extracted,"AREG_UserManual_en_08.pdf#page=131, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=493, AREG_UserManual_en_08.pdf#page=581"
:EIRP?,query,extracted,"AREG_UserManual_en_08.pdf#page=131, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=492, AREG_UserManual_en_08.pdf#page=581"
:EVENT,action,extracted,"AREG_UserManual_en_08.pdf#page=297, AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=536, AREG_UserManual_en_08.pdf#page=577"
:EXCLUSIVE,action,extracted,"AREG_UserManual_en_08.pdf#page=408, AREG_UserManual_en_08.pdf#page=415, AREG_UserManual_en_08.pdf#page=578"
:EXECUTE,action,extracted,"AREG_UserManual_en_08.pdf#page=240, AREG_UserManual_en_08.pdf#page=390, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=576"
:FE,action,extracted,"AREG_UserManual_en_08.pdf#page=166, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=473, AREG_UserManual_en_08.pdf#page=581"
:FILE,action,extracted,"AREG_UserManual_en_08.pdf#page=242, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=392, AREG_UserManual_en_08.pdf#page=393, AREG_UserManual_en_08.pdf#page=394, AREG_UserManual_en_08.pdf#page=575, AREG_UserManual_en_08.pdf#page=576"
:FILTER,action,extracted,AREG_UserManual_en_08.pdf#page=530
:FILTER:LENGTH,action,extracted,"AREG_UserManual_en_08.pdf#page=181, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=528, AREG_UserManual_en_08.pdf#page=576"
:FILTER:LENGTH:AUTO?,query,extracted,"AREG_UserManual_en_08.pdf#page=181, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=528, AREG_UserManual_en_08.pdf#page=576"
:FILTER:NSRATIO,action,extracted,"AREG_UserManual_en_08.pdf#page=181, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=529, AREG_UserManual_en_08.pdf#page=576"
:FILTER:NSRATIO:MTIME,action,extracted,"AREG_UserManual_en_08.pdf#page=181, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=529, AREG_UserManual_en_08.pdf#page=530, AREG_UserManual_en_08.pdf#page=576"
:FILTER:SONCE,action,extracted,"AREG_UserManual_en_08.pdf#page=181, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=529, AREG_UserManual_en_08.pdf#page=576"
:FILTER:TYPE,action,extracted,"AREG_UserManual_en_08.pdf#page=181, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=529, AREG_UserManual_en_08.pdf#page=530, AREG_UserManual_en_08.pdf#page=576"
:FORM,action,extracted,AREG_UserManual_en_08.pdf#page=389
:FORM:BORD,action,extracted,AREG_UserManual_en_08.pdf#page=388
:FORM:SREG,action,extracted,AREG_UserManual_en_08.pdf#page=388
:FORMAT,action,extracted,"AREG_UserManual_en_08.pdf#page=388, AREG_UserManual_en_08.pdf#page=575"
:FORMAT:BORDER,action,extracted,"AREG_UserManual_en_08.pdf#page=388, AREG_UserManual_en_08.pdf#page=575"
:FORMAT:SREGISTER,action,extracted,"AREG_UserManual_en_08.pdf#page=388, AREG_UserManual_en_08.pdf#page=575"
:FPANEL:KEYBOARD:LAYOUT,action,extracted,"AREG_UserManual_en_08.pdf#page=246, AREG_UserManual_en_08.pdf#page=394, AREG_UserManual_en_08.pdf#page=575"
:FREQ:STAR,action,extracted,Remote_Control_SCPI_GettingStarted_en_04.pdf#page=34
:FREQ:STAR?,query,extracted,Remote_Control_SCPI_GettingStarted_en_04.pdf#page=34
:FREQUENCY,action,extracted,"AREG_UserManual_en_08.pdf#page=180, AREG_UserManual_en_08.pdf#page=225, AREG_UserManual_en_08.pdf#page=443, AREG_UserManual_en_08.pdf#page=444, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=530, AREG_UserManual_en_08.pdf#page=576, AREG_UserManual_en_08.pdf#page=583"
:GATEWAY,action,extracted,"AREG_UserManual_en_08.pdf#page=301, AREG_UserManual_en_08.pdf#page=409, AREG_UserManual_en_08.pdf#page=420, AREG_UserManual_en_08.pdf#page=577"
:HCOP:IMM,action,extracted,Remote_Control_SCPI_GettingStarted_en_04.pdf#page=22
:HCOP:ITEM,action,extracted,Remote_Control_SCPI_GettingStarted_en_04.pdf#page=21
:HCOPY,action,extracted,"AREG_UserManual_en_08.pdf#page=240, AREG_UserManual_en_08.pdf#page=390, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=576"
:HCOPY:DATA,action,extracted,AREG_UserManual_en_08.pdf#page=390
:HCOPY:DATA?,query,extracted,"AREG_UserManual_en_08.pdf#page=390, AREG_UserManual_en_08.pdf#page=575"
:HCOPY:DEVICE:LANGUAGE,action,extracted,"AREG_UserManual_en_08.pdf#page=240, AREG_UserManual_en_08.pdf#page=389, AREG_UserManual_en_08.pdf#page=390, AREG_UserManual_en_08.pdf#page=575"
:HCOPY:EXECUTE,action,extracted,AREG_UserManual_en_08.pdf#page=390
:HCOPY:FILE,action,extracted,"AREG_UserManual_en_08.pdf#page=239, AREG_UserManual_en_08.pdf#page=240, AREG_UserManual_en_08.pdf#page=241, AREG_UserManual_en_08.pdf#page=242, AREG_UserManual_en_08.pdf#page=390, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=392, AREG_UserManual_en_08.pdf#page=393, AREG_UserManual_en_08.pdf#page=394, AREG_UserManual_en_08.pdf#page=575, AREG_UserManual_en_08.pdf#page=576"
:HCOPY:FILE:AUTO:DIR,action,extracted,AREG_UserManual_en_08.pdf#page=389
:HCOPY:FILE:AUTO:FILE?,query,extracted,AREG_UserManual_en_08.pdf#page=390
:HCOPY:FILE:AUTO:NUMBER?,query,extracted,AREG_UserManual_en_08.pdf#page=390
:HCOPY:FILE:AUTO?,query,extracted,AREG_UserManual_en_08.pdf#page=390
:HCOPY:FILE:NAME:AUTO:FILE:MONTH:STATE,action,extracted,AREG_UserManual_en_08.pdf#page=389
:HCOPY:FILE:NAME:AUTO:FILE:PREFIX,action,extracted,AREG_UserManual_en_08.pdf#page=389
:HCOPY:FILE:NAME:AUTO:FILE:PREFIX:STATE,action,extracted,AREG_UserManual_en_08.pdf#page=389
:HCOPY:FILE:NAME:AUTO:FILE:YEAR:STATE,action,extracted,AREG_UserManual_en_08.pdf#page=389
:HCOPY:FILE:NAME:AUTO:STATE,action,extracted,AREG_UserManual_en_08.pdf#page=389
:HCOPY:IMAGE:FORMAT,action,extracted,"AREG_UserManual_en_08.pdf#page=240, AREG_UserManual_en_08.pdf#page=390, AREG_UserManual_en_08.pdf#page=576"
:HCOPY:REGION,action,extracted,"AREG_UserManual_en_08.pdf#page=240, AREG_UserManual_en_08.pdf#page=389, AREG_UserManual_en_08.pdf#page=390, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=576"
:HISLIP,action,extracted,AREG_UserManual_en_08.pdf#page=289
:HISLIP0,action,extracted,"AREG_UserManual_en_08.pdf#page=287, AREG_UserManual_en_08.pdf#page=289, AREG_UserManual_en_08.pdf#page=293, AREG_UserManual_en_08.pdf#page=294, AREG_UserManual_en_08.pdf#page=406"
:HOST,action,extracted,AREG_UserManual_en_08.pdf#page=287
:HOSTNAME,action,extracted,"AREG_UserManual_en_08.pdf#page=133, AREG_UserManual_en_08.pdf#page=198, AREG_UserManual_en_08.pdf#page=200, AREG_UserManual_en_08.pdf#page=300, AREG_UserManual_en_08.pdf#page=409, AREG_UserManual_en_08.pdf#page=419, AREG_UserManual_en_08.pdf#page=436, AREG_UserManual_en_08.pdf#page=438, AREG_UserManual_en_08.pdf#page=439, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=479, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=511, AREG_UserManual_en_08.pdf#page=577, AREG_UserManual_en_08.pdf#page=578, AREG_UserManual_en_08.pdf#page=580, AREG_UserManual_en_08.pdf#page=582"
:ID,action,extracted,"AREG_UserManual_en_08.pdf#page=143, AREG_UserManual_en_08.pdf#page=155, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=491, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=501, AREG_UserManual_en_08.pdf#page=580, AREG_UserManual_en_08.pdf#page=583"
:IMMEDIATE,action,extracted,"Remote_Control_SCPI_GettingStarted_en_04.pdf#page=15, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=16, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=21"
:INITIATE,action,extracted,"AREG_UserManual_en_08.pdf#page=179, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=525, AREG_UserManual_en_08.pdf#page=576"
:INPUT:USER,action,extracted,"AREG_UserManual_en_08.pdf#page=250, AREG_UserManual_en_08.pdf#page=443, AREG_UserManual_en_08.pdf#page=579"
:INST0,action,extracted,"AREG_UserManual_en_08.pdf#page=289, AREG_UserManual_en_08.pdf#page=293, AREG_UserManual_en_08.pdf#page=294, AREG_UserManual_en_08.pdf#page=406"
:INSTR,action,extracted,"AREG_UserManual_en_08.pdf#page=287, AREG_UserManual_en_08.pdf#page=288, AREG_UserManual_en_08.pdf#page=289, AREG_UserManual_en_08.pdf#page=290, AREG_UserManual_en_08.pdf#page=291, AREG_UserManual_en_08.pdf#page=293, AREG_UserManual_en_08.pdf#page=294, AREG_UserManual_en_08.pdf#page=295, AREG_UserManual_en_08.pdf#page=359, AREG_UserManual_en_08.pdf#page=406"
:INTERNAL,action,extracted,"AREG_UserManual_en_08.pdf#page=172, AREG_UserManual_en_08.pdf#page=514, AREG_UserManual_en_08.pdf#page=516, AREG_UserManual_en_08.pdf#page=579"
:IPADDRESS,action,extracted,"AREG_UserManual_en_08.pdf#page=133, AREG_UserManual_en_08.pdf#page=198, AREG_UserManual_en_08.pdf#page=200, AREG_UserManual_en_08.pdf#page=301, AREG_UserManual_en_08.pdf#page=409, AREG_UserManual_en_08.pdf#page=420, AREG_UserManual_en_08.pdf#page=436, AREG_UserManual_en_08.pdf#page=437, AREG_UserManual_en_08.pdf#page=438, AREG_UserManual_en_08.pdf#page=439, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=479, AREG_UserManual_en_08.pdf#page=577, AREG_UserManual_en_08.pdf#page=578, AREG_UserManual_en_08.pdf#page=580"
:KBOARD:LAYOUT,action,extracted,"AREG_UserManual_en_08.pdf#page=246, AREG_UserManual_en_08.pdf#page=394, AREG_UserManual_en_08.pdf#page=395, AREG_UserManual_en_08.pdf#page=576"
:LAN,action,extracted,AREG_UserManual_en_08.pdf#page=289
:LIST,action,extracted,"AREG_UserManual_en_08.pdf#page=183, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=524, AREG_UserManual_en_08.pdf#page=577"
:LOCALHOST,action,extracted,AREG_UserManual_en_08.pdf#page=359
:LOGGING:STATE,action,extracted,"AREG_UserManual_en_08.pdf#page=182, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=531, AREG_UserManual_en_08.pdf#page=576"
:MAPPING,action,extracted,"AREG_UserManual_en_08.pdf#page=183, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=524, AREG_UserManual_en_08.pdf#page=577"
:MAXIMIZE,action,extracted,"Remote_Control_SCPI_GettingStarted_en_04.pdf#page=15, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=16"
:MEASURE,action,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=371, AREG_UserManual_en_08.pdf#page=372, AREG_UserManual_en_08.pdf#page=373, AREG_UserManual_en_08.pdf#page=375, AREG_UserManual_en_08.pdf#page=554, AREG_UserManual_en_08.pdf#page=555, AREG_UserManual_en_08.pdf#page=575"
:MEMORY:HFREE?,query,extracted,"AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=404, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY,action,extracted,"AREG_UserManual_en_08.pdf#page=366, AREG_UserManual_en_08.pdf#page=401"
:MMEMORY:CATALOG:LENGTH?,query,extracted,"AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=400, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:CATALOG?,query,extracted,"AREG_UserManual_en_08.pdf#page=224, AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:CDIRECTORY,action,extracted,"AREG_UserManual_en_08.pdf#page=224, AREG_UserManual_en_08.pdf#page=228, AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=400, AREG_UserManual_en_08.pdf#page=402, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:COPY,action,extracted,"AREG_UserManual_en_08.pdf#page=228, AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=400, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:DATA,action,extracted,"AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=401, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:DATA?,query,extracted,AREG_UserManual_en_08.pdf#page=401
:MMEMORY:DCATALOG:LENGTH?,query,extracted,"AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=402, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:DCATALOG?,query,extracted,"AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=402, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:DELETE,action,extracted,"AREG_UserManual_en_08.pdf#page=228, AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=402, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:LOAD,action,extracted,AREG_UserManual_en_08.pdf#page=397
:MMEMORY:LOAD:STATE,action,extracted,"AREG_UserManual_en_08.pdf#page=225, AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=402, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:MDIRECTORY,action,extracted,"AREG_UserManual_en_08.pdf#page=228, AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=403, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:MOVE,action,extracted,"AREG_UserManual_en_08.pdf#page=228, AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=403, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:MSIS,action,extracted,"AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=403, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:RDIRECTORY,action,extracted,"AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=403, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:RDIRECTORY:RECURSIVE,action,extracted,"AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=404, AREG_UserManual_en_08.pdf#page=576"
:MMEMORY:STORE:STATE,action,extracted,"AREG_UserManual_en_08.pdf#page=224, AREG_UserManual_en_08.pdf#page=397, AREG_UserManual_en_08.pdf#page=399, AREG_UserManual_en_08.pdf#page=404, AREG_UserManual_en_08.pdf#page=576"
:MODE,action,extracted,"AREG_UserManual_en_08.pdf#page=109, AREG_UserManual_en_08.pdf#page=134, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=459, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=480, AREG_UserManual_en_08.pdf#page=481, AREG_UserManual_en_08.pdf#page=580, AREG_UserManual_en_08.pdf#page=581, AREG_UserManual_en_08.pdf#page=583"
:MONTH:STATE,action,extracted,"AREG_UserManual_en_08.pdf#page=242, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=393, AREG_UserManual_en_08.pdf#page=575"
:NAME,action,extracted,"AREG_UserManual_en_08.pdf#page=239, AREG_UserManual_en_08.pdf#page=240, AREG_UserManual_en_08.pdf#page=241, AREG_UserManual_en_08.pdf#page=242, AREG_UserManual_en_08.pdf#page=390, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=392, AREG_UserManual_en_08.pdf#page=393, AREG_UserManual_en_08.pdf#page=394, AREG_UserManual_en_08.pdf#page=575, AREG_UserManual_en_08.pdf#page=576"
:NAME?,query,extracted,"AREG_UserManual_en_08.pdf#page=131, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=489, AREG_UserManual_en_08.pdf#page=581"
:NEXT,action,extracted,"AREG_UserManual_en_08.pdf#page=408, AREG_UserManual_en_08.pdf#page=411, AREG_UserManual_en_08.pdf#page=412, AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=537, AREG_UserManual_en_08.pdf#page=539, AREG_UserManual_en_08.pdf#page=542, AREG_UserManual_en_08.pdf#page=577, AREG_UserManual_en_08.pdf#page=578, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=32"
:NUMBER?,query,extracted,"AREG_UserManual_en_08.pdf#page=242, AREG_UserManual_en_08.pdf#page=392, AREG_UserManual_en_08.pdf#page=393, AREG_UserManual_en_08.pdf#page=575"
:OFFSET,action,extracted,"AREG_UserManual_en_08.pdf#page=180, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=531, AREG_UserManual_en_08.pdf#page=576"
:OFFSET:STATE,action,extracted,"AREG_UserManual_en_08.pdf#page=180, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=531, AREG_UserManual_en_08.pdf#page=576"
:OR,action,extracted,"AREG_UserManual_en_08.pdf#page=137, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=479, AREG_UserManual_en_08.pdf#page=580"
:OTA:OFFSET,action,extracted,"AREG_UserManual_en_08.pdf#page=127, AREG_UserManual_en_08.pdf#page=133, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=581"
:OUTPUT1:STATE,action,extracted,AREG_UserManual_en_08.pdf#page=430
:OUTPUT:USER,action,extracted,"AREG_UserManual_en_08.pdf#page=250, AREG_UserManual_en_08.pdf#page=443, AREG_UserManual_en_08.pdf#page=576"
:POINT:CATALOG?,query,extracted,"AREG_UserManual_en_08.pdf#page=373, AREG_UserManual_en_08.pdf#page=375, AREG_UserManual_en_08.pdf#page=575"
:POINT?,query,extracted,"AREG_UserManual_en_08.pdf#page=373, AREG_UserManual_en_08.pdf#page=375, AREG_UserManual_en_08.pdf#page=575"
:POWER,action,extracted,"AREG_UserManual_en_08.pdf#page=175, AREG_UserManual_en_08.pdf#page=179, AREG_UserManual_en_08.pdf#page=180, AREG_UserManual_en_08.pdf#page=181, AREG_UserManual_en_08.pdf#page=182, AREG_UserManual_en_08.pdf#page=519, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=525, AREG_UserManual_en_08.pdf#page=526, AREG_UserManual_en_08.pdf#page=527, AREG_UserManual_en_08.pdf#page=528, AREG_UserManual_en_08.pdf#page=529, AREG_UserManual_en_08.pdf#page=530, AREG_UserManual_en_08.pdf#page=531, AREG_UserManual_en_08.pdf#page=532, AREG_UserManual_en_08.pdf#page=533, AREG_UserManual_en_08.pdf#page=576"
:PREFIX,action,extracted,"AREG_UserManual_en_08.pdf#page=242, AREG_UserManual_en_08.pdf#page=392, AREG_UserManual_en_08.pdf#page=394, AREG_UserManual_en_08.pdf#page=575"
:PREFIX:STATE,action,extracted,"AREG_UserManual_en_08.pdf#page=242, AREG_UserManual_en_08.pdf#page=392, AREG_UserManual_en_08.pdf#page=394, AREG_UserManual_en_08.pdf#page=575"
:PRESET,action,extracted,"AREG_UserManual_en_08.pdf#page=367, AREG_UserManual_en_08.pdf#page=368, AREG_UserManual_en_08.pdf#page=577"
:RANGE,action,extracted,"AREG_UserManual_en_08.pdf#page=106, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=452, AREG_UserManual_en_08.pdf#page=582"
:RCL,action,extracted,"AREG_UserManual_en_08.pdf#page=225, AREG_UserManual_en_08.pdf#page=443, AREG_UserManual_en_08.pdf#page=444, AREG_UserManual_en_08.pdf#page=583"
:RCS,action,extracted,"AREG_UserManual_en_08.pdf#page=107, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=452, AREG_UserManual_en_08.pdf#page=453, AREG_UserManual_en_08.pdf#page=582"
:READ,action,extracted,"AREG_UserManual_en_08.pdf#page=179, AREG_UserManual_en_08.pdf#page=519, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=525, AREG_UserManual_en_08.pdf#page=576"
:READ1?,query,extracted,AREG_UserManual_en_08.pdf#page=525
:READ2?,query,extracted,AREG_UserManual_en_08.pdf#page=526
:REMOVE,action,extracted,"AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=582"
:RESOLUTION,action,extracted,"Remote_Control_SCPI_GettingStarted_en_04.pdf#page=15, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=21"
:RMV,action,extracted,"AREG_UserManual_en_08.pdf#page=125, AREG_UserManual_en_08.pdf#page=156, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=480, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=501, AREG_UserManual_en_08.pdf#page=581, AREG_UserManual_en_08.pdf#page=583"
:ROSCILLATOR,action,extracted,"AREG_UserManual_en_08.pdf#page=172, AREG_UserManual_en_08.pdf#page=514, AREG_UserManual_en_08.pdf#page=516, AREG_UserManual_en_08.pdf#page=579"
